City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pevek,RU,69.7008,170.3133,32.07,98,100,24.43,snow
80,Severo-Kurilsk,RU,50.6789,156.125,60.37,94,92,4.25,overcast clouds
81,Jamestown,US,42.097,-79.2353,78.39,73,40,13.8,scattered clouds
82,Mancora,PE,-4.1078,-81.0475,73.47,68,78,13.69,broken clouds
83,Mogok,MM,22.9167,96.5,65.73,95,96,3.11,overcast clouds
84,Cape Town,ZA,-33.9258,18.4232,54.12,90,20,1.01,few clouds
85,Bowen,AU,-20.0167,148.2333,61.02,73,5,7.99,clear sky
86,Whitianga,NZ,-36.8333,175.7,59.02,76,19,3.98,few clouds
87,Berlevag,NO,70.8578,29.0864,44.06,88,100,5.08,overcast clouds
88,Avarua,CK,-21.2078,-159.775,77.05,65,75,4.61,broken clouds
89,Altay,CN,47.8667,88.1167,65.1,19,66,4.9,broken clouds
90,Lebork,PL,54.5392,17.7501,62.15,64,27,10.36,scattered clouds
91,Brae,GB,60.3964,-1.353,53.51,92,100,11.83,overcast clouds
92,Mount Gambier,AU,-37.8333,140.7667,48.11,57,40,18.41,scattered clouds
93,Dalvik,IS,65.9702,-18.5286,51.73,95,99,1.21,overcast clouds
94,Flinders,AU,-34.5833,150.8552,53.06,78,0,1.01,clear sky
95,Shimoda,JP,34.6667,138.95,81.39,70,34,1.34,scattered clouds
96,Fortuna,US,40.5982,-124.1573,74.86,69,20,4.0,few clouds
97,Villa De Cura,VE,10.0386,-67.4894,71.73,93,76,2.93,broken clouds
98,Zhigansk,RU,66.7697,123.3711,63.32,45,7,5.97,clear sky
99,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,93,90,17.27,overcast clouds
100,Port-Cartier,CA,50.0334,-66.8654,66.42,73,96,5.28,overcast clouds
101,Saint George,US,37.1041,-113.5841,99.19,22,1,0.0,clear sky
102,Castrillon,ES,43.3979,-6.7922,63.14,98,13,2.64,few clouds
103,Castro,BR,-24.7911,-50.0119,35.91,59,4,2.04,clear sky
104,Cabo San Lucas,MX,22.8909,-109.9124,93.81,62,20,9.22,few clouds
105,Sabang,ID,5.8933,95.3214,83.46,75,100,21.68,overcast clouds
106,Ninghai,CN,29.2892,121.4247,80.73,92,98,2.84,overcast clouds
107,Half Moon Bay,US,37.4636,-122.4286,97.92,62,40,12.66,scattered clouds
108,Kaitangata,NZ,-46.2817,169.8464,52.93,80,77,7.11,light rain
109,Airai,TL,-8.9266,125.4092,61.54,51,43,2.66,scattered clouds
110,Nador,MA,35.174,-2.9287,77.07,88,0,0.0,clear sky
111,New Norfolk,AU,-42.7826,147.0587,51.93,79,100,1.01,overcast clouds
112,Tasiilaq,GL,65.6145,-37.6368,53.76,71,70,2.57,broken clouds
113,San Quintin,MX,30.4833,-115.95,76.23,68,1,15.52,clear sky
114,Aksu,CN,41.1231,80.2644,86.47,21,100,5.79,overcast clouds
115,Kamenka,RU,51.3223,42.7678,68.54,72,27,6.42,scattered clouds
116,Baykit,RU,61.67,96.37,61.18,97,89,2.89,overcast clouds
117,Lufilufi,WS,-13.8745,-171.5986,87.58,77,29,19.04,scattered clouds
118,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,21.85,light rain
119,San Clemente,US,33.427,-117.612,105.73,74,66,5.01,broken clouds
120,Butaritari,KI,3.0707,172.7902,83.95,70,15,12.06,few clouds
121,Port Lincoln,AU,-34.7333,135.8667,57.27,58,29,20.18,scattered clouds
122,Olafsvik,IS,64.8945,-23.7142,53.37,87,92,6.93,overcast clouds
123,Guerrero Negro,MX,27.9769,-114.0611,77.9,65,8,20.67,clear sky
124,Mekhe,SN,15.1097,-16.6218,82.96,79,93,6.91,overcast clouds
125,Jining,CN,35.405,116.5814,70.59,93,61,8.01,broken clouds
126,Nelson Bay,AU,-32.7167,152.15,50.95,50,0,5.77,clear sky
127,Sangmelima,CM,2.9333,11.9833,68.31,97,94,4.9,light rain
128,Chuy,UY,-33.6971,-53.4616,43.16,78,68,6.15,broken clouds
129,Ordu,TR,40.9086,37.6845,61.3,93,52,3.62,broken clouds
130,Bardiyah,LY,31.7561,25.0865,79.61,73,0,13.09,clear sky
131,Krasnoshchekovo,RU,51.6708,82.7289,53.65,76,45,2.37,moderate rain
132,Nurota,UZ,40.5614,65.6886,75.29,31,5,9.78,clear sky
133,Belyy Yar,RU,53.6039,91.3903,49.89,93,0,4.47,clear sky
134,Tucurui,BR,-3.7661,-49.6725,79.45,66,72,4.45,broken clouds
135,Lady Frere,ZA,-31.7031,27.2329,42.69,62,0,2.89,clear sky
136,Silvan,TR,38.1419,41.0081,73.69,35,3,6.22,clear sky
137,Kachiry,KZ,53.0675,76.1036,52.5,61,0,5.75,clear sky
138,Hirara,JP,24.8,125.2833,82.67,94,20,4.61,few clouds
139,Mastung,PK,29.7994,66.845,77.0,18,72,3.49,broken clouds
140,Port Alfred,ZA,-33.5906,26.891,56.32,85,1,10.56,clear sky
141,Tiksi,RU,71.6872,128.8694,52.79,54,82,3.42,broken clouds
142,Phan Thiet,VN,10.9333,108.1,78.49,85,95,11.36,overcast clouds
143,Merauke,ID,-8.4667,140.3333,77.58,89,63,10.49,broken clouds
144,Sisimiut,GL,66.9395,-53.6735,50.77,67,89,4.88,overcast clouds
145,Vardo,NO,70.3705,31.1107,45.16,86,100,3.38,overcast clouds
146,Kahramanmaras,TR,38.0,37.0,68.63,67,0,6.38,clear sky
147,Qaanaaq,GL,77.484,-69.3632,38.68,92,99,7.18,overcast clouds
148,Goderich,CA,43.7501,-81.7165,73.9,78,6,11.5,clear sky
149,Dingle,PH,10.9995,122.6711,79.9,86,96,8.57,overcast clouds
150,Cidreira,BR,-30.1811,-50.2056,46.58,67,6,8.95,clear sky
151,Axim,GH,4.8699,-2.2405,76.23,86,16,7.09,few clouds
152,Necochea,AR,-38.5473,-58.7368,48.04,62,0,7.31,clear sky
153,Salalah,OM,17.0151,54.0924,78.89,89,90,11.5,light intensity drizzle
154,Roald,NO,62.5833,6.1333,62.91,94,80,16.11,broken clouds
155,Muncar,ID,-8.4333,114.3333,73.96,89,76,1.97,broken clouds
156,Camopi,GF,3.1655,-52.3158,72.79,98,82,2.66,broken clouds
157,Santa Fe,AR,-31.6333,-60.7,50.76,41,0,4.76,clear sky
158,Fort-Shevchenko,KZ,44.5086,50.263,78.53,39,1,7.83,clear sky
159,Victoria,HK,22.2855,114.1577,84.33,91,99,4.0,light rain
160,Mitsamiouli,KM,-11.3847,43.2844,76.08,66,1,8.23,clear sky
161,Dolores,AR,-36.3132,-57.6792,43.54,65,0,7.76,clear sky
162,Emmaus,US,40.5395,-75.4968,77.65,91,40,3.44,scattered clouds
163,Hobyo,SO,5.3505,48.5268,76.37,79,98,24.09,overcast clouds
164,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,87,41,5.7,scattered clouds
165,Freiberg,DE,50.9167,13.3667,62.65,81,29,6.55,scattered clouds
166,Sao Filipe,CV,14.8961,-24.4956,75.88,76,96,5.7,overcast clouds
167,Katsuura,JP,35.1333,140.3,84.11,83,43,6.69,scattered clouds
168,Mandurah,AU,-32.55,115.7,57.45,70,100,31.63,light rain
169,Tianpeng,CN,30.9866,103.9393,79.27,64,70,3.49,broken clouds
170,Athabasca,CA,54.7169,-113.2854,83.23,24,3,12.33,clear sky
171,Sitka,US,57.0531,-135.33,67.89,60,1,6.91,clear sky
172,Lompoc,US,34.6391,-120.4579,92.01,73,75,17.27,mist
173,Komono,JP,35.0,136.5167,84.02,81,1,2.33,clear sky
174,Teknaf,BD,20.8624,92.3058,79.93,91,100,11.1,overcast clouds
175,Balkanabat,TM,39.5108,54.3671,82.0,45,36,6.98,scattered clouds
176,Dudinka,RU,69.4058,86.1778,55.99,90,100,2.62,overcast clouds
177,Jurado,CO,7.1053,-77.7641,80.08,85,97,4.38,overcast clouds
178,Angoram,PG,-4.0625,144.0661,78.44,90,72,3.09,broken clouds
179,Brownsburg,US,39.8434,-86.3978,87.55,74,75,1.01,broken clouds
180,Batagay-Alyta,RU,67.8006,130.4114,58.96,39,7,1.83,clear sky
181,San Patricio,US,28.017,-97.5169,93.92,47,67,14.2,broken clouds
182,Kurduvadi,IN,18.0833,75.4333,72.82,83,100,10.69,overcast clouds
183,Colchester,GB,51.8892,0.9042,61.95,78,88,7.81,overcast clouds
184,Ukiah,US,39.1502,-123.2078,105.51,20,1,5.75,clear sky
185,Trat,TH,12.5,102.5,75.51,96,79,6.15,broken clouds
186,Shingu,JP,33.7333,135.9833,79.92,60,0,1.48,clear sky
187,El Vigia,VE,8.6219,-71.6506,83.25,69,26,3.96,scattered clouds
188,Ketchikan,US,55.3422,-131.6461,68.47,73,90,6.91,overcast clouds
189,Faya,SA,18.3851,42.4509,68.11,60,59,3.83,broken clouds
190,Constitucion,CL,-35.3333,-72.4167,51.76,76,0,2.59,clear sky
191,Buta,CD,2.7858,24.73,72.91,82,94,1.57,overcast clouds
192,Colmenar Viejo,ES,40.6591,-3.7676,81.77,38,0,1.01,clear sky
193,Maragogi,BR,-9.0122,-35.2225,74.43,85,78,6.87,broken clouds
194,Nicolas Bravo,MX,18.45,-88.9167,88.68,73,100,4.21,overcast clouds
195,Hofn,IS,64.2539,-15.2082,53.83,88,78,5.7,broken clouds
196,Niquelandia,BR,-14.4739,-48.4597,72.28,39,0,4.54,clear sky
197,Juegang,CN,32.3174,121.1855,79.99,87,9,9.89,light rain
198,Quimper,FR,48.0,-4.1,64.47,100,90,12.66,mist
199,Geraldton,AU,-28.7667,114.6,61.21,88,40,16.11,scattered clouds
200,Erdenet,MN,49.0333,104.0833,53.65,96,77,5.06,broken clouds
201,Riyadh,SA,24.6877,46.7219,89.74,13,43,4.85,scattered clouds
202,Abatskoye,RU,56.2875,70.4555,53.58,70,91,7.61,overcast clouds
203,Mackay,AU,-21.15,149.2,69.67,100,90,9.22,overcast clouds
204,Kaitong,CN,44.8135,123.15,71.92,91,100,6.13,moderate rain
205,Clinton,US,42.587,-82.9199,89.92,60,40,12.66,haze
206,Atar,MR,20.5169,-13.0499,90.36,32,98,9.55,overcast clouds
207,Sao Joao Da Barra,BR,-21.6403,-41.0511,61.74,57,14,24.25,few clouds
208,Sept-Iles,CA,50.2001,-66.3821,66.72,55,90,10.36,overcast clouds
209,Dikson,RU,73.5069,80.5464,44.06,80,100,14.12,overcast clouds
210,Teya,RU,60.3778,92.6267,52.48,96,100,1.99,overcast clouds
211,Naliya,IN,23.2667,68.8333,81.61,82,100,21.88,overcast clouds
212,Luderitz,NA,-26.6481,15.1594,62.6,40,0,7.94,clear sky
213,Flin Flon,CA,54.7682,-101.865,75.04,57,90,2.3,smoke
214,Tuatapere,NZ,-46.1333,167.6833,44.82,79,100,3.89,moderate rain
215,Ilulissat,GL,69.2167,-51.1,51.82,71,57,3.44,broken clouds
216,Scarborough,GB,54.2797,-0.4044,58.66,85,78,3.0,broken clouds
217,Yanam,IN,16.7333,82.2167,79.48,76,100,8.41,overcast clouds
218,Darovskoy,RU,58.77,47.9564,59.77,99,100,5.68,overcast clouds
219,Kruisfontein,ZA,-34.0033,24.7314,49.89,85,1,6.58,clear sky
220,Torbay,CA,47.6666,-52.7314,64.38,64,2,20.0,clear sky
221,Galeana,MX,24.8333,-100.0667,69.31,65,97,9.84,overcast clouds
222,Khatanga,RU,71.9667,102.5,72.19,61,1,13.91,clear sky
223,Chokurdakh,RU,70.6333,147.9167,45.7,52,95,6.67,overcast clouds
224,Narsaq,GL,60.9167,-46.05,55.62,82,78,3.78,broken clouds
225,Pochutla,MX,15.7432,-96.4661,85.05,76,99,4.59,overcast clouds
226,Waingapu,ID,-9.6567,120.2641,75.7,77,75,8.3,broken clouds
227,Naryan-Mar,RU,67.6713,53.087,42.67,88,92,2.93,overcast clouds
228,Leningradskiy,RU,69.3833,178.4167,32.65,98,100,19.84,light snow
229,Nogliki,RU,51.8333,143.1667,63.43,99,100,6.78,moderate rain
230,Gaya,IN,24.7833,85.0,78.71,94,75,0.0,mist
231,Bairiki,KI,1.3292,172.9752,86.0,70,20,9.22,few clouds
232,Ginda,IN,30.6945,78.4932,64.54,90,90,2.28,overcast clouds
233,Mercedes,AR,-34.6515,-59.4307,49.86,53,0,7.09,clear sky
234,Talnakh,RU,69.4865,88.3972,60.19,77,99,2.62,overcast clouds
235,Samarai,PG,-10.6167,150.6667,80.2,82,48,11.32,scattered clouds
236,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,45.81,39,0,5.26,clear sky
237,Suksun,RU,57.1431,57.3949,57.13,93,82,4.79,broken clouds
238,Hithadhoo,MV,-0.6,73.0833,82.11,72,100,4.59,overcast clouds
239,Upernavik,GL,72.7868,-56.1549,44.92,88,100,4.18,overcast clouds
240,Pisco,PE,-13.7,-76.2167,64.45,72,90,10.36,overcast clouds
241,Tuy Hoa,VN,13.0833,109.3,83.61,67,39,15.48,scattered clouds
242,Mineiros,BR,-17.5694,-52.5511,55.35,22,0,6.69,clear sky
243,Ampanihy,MG,-24.7,44.75,67.78,64,47,5.91,scattered clouds
244,Kaseda,JP,31.4167,130.3167,78.03,75,79,5.39,broken clouds
245,Puerto Colombia,CO,10.9878,-74.9547,86.09,83,7,15.88,clear sky
246,Nhulunbuy,AU,-12.2333,136.7667,70.41,100,6,0.0,clear sky
247,Adrar,MR,20.5022,-10.0711,90.45,32,36,16.75,scattered clouds
248,Codrington,AU,-38.2667,141.9667,48.97,58,54,22.48,broken clouds
249,Muisne,EC,0.6,-80.0333,75.81,81,95,9.31,overcast clouds
250,Port Moresby,PG,-9.4431,147.1797,78.22,89,75,4.61,broken clouds
251,Karratha,AU,-20.7377,116.8463,66.54,71,14,5.93,few clouds
252,Margate,GB,51.3813,1.3862,60.96,76,52,1.99,broken clouds
253,Bilibino,RU,68.0546,166.4372,40.15,58,96,6.26,overcast clouds
254,Saint Anthony,US,45.0205,-93.218,82.33,41,40,9.22,haze
255,Ekhinos,GR,41.2833,24.9667,77.68,38,2,4.54,clear sky
256,Bandarbeyla,SO,9.4942,50.8122,77.18,76,100,30.76,overcast clouds
257,Kurud,IN,20.8322,81.7214,74.37,88,100,11.86,light rain
258,Bay Roberts,CA,47.5999,-53.2648,65.14,66,0,3.0,clear sky
259,Port Blair,IN,11.6667,92.75,81.99,84,100,17.09,overcast clouds
260,Manga,BF,11.6636,-1.0731,76.57,75,93,7.81,overcast clouds
261,Fairbanks,US,64.8378,-147.7164,68.02,64,90,1.01,overcast clouds
262,Aquiraz,BR,-3.9014,-38.3911,80.69,88,71,10.56,broken clouds
263,Russell,US,32.3502,-85.1999,96.4,49,1,5.75,clear sky
264,Souillac,MU,-20.5167,57.5167,68.38,83,75,21.85,light rain
265,Avera,US,33.194,-82.5271,99.91,48,4,6.73,clear sky
266,Port-Gentil,GA,-0.7193,8.7815,76.96,83,20,11.5,few clouds
267,Aripuana,BR,-9.1667,-60.6333,71.6,43,0,2.73,clear sky
268,Port Hedland,AU,-20.3167,118.5667,64.45,94,40,5.75,scattered clouds
269,Les Cayes,HT,18.2,-73.75,81.48,76,8,8.37,clear sky
270,Pangkalanbuun,ID,-2.6833,111.6167,73.92,96,54,2.24,light rain
271,Saint Helens,GB,53.45,-2.7333,58.93,87,0,2.3,clear sky
272,Hun,LY,29.1268,15.9477,80.13,40,0,6.44,clear sky
273,Marsaxlokk,MT,35.8419,14.5431,83.08,32,0,4.61,clear sky
274,Carnot,CF,4.9409,15.8665,69.3,96,61,0.56,light rain
275,Belmonte,BR,-15.8631,-38.8828,73.9,89,12,9.35,few clouds
276,Dicabisagan,PH,17.0818,122.4157,83.1,72,99,2.51,overcast clouds
277,Rio Gallegos,AR,-51.6226,-69.2181,44.65,53,0,11.5,clear sky
278,Katangli,RU,51.7102,143.2326,62.98,99,100,5.68,moderate rain
279,Te Anau,NZ,-45.4167,167.7167,48.49,84,100,1.32,overcast clouds
280,Ust-Kulom,RU,61.6864,53.6902,49.05,83,100,4.74,overcast clouds
281,Laguna,US,38.421,-121.4238,110.21,26,1,3.0,clear sky
282,Lopatyn,UA,50.2202,24.8483,64.92,77,46,5.64,scattered clouds
283,Bethel,US,41.3712,-73.414,72.72,91,90,1.01,overcast clouds
