City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Komono,JP,84.02,clear sky,35.0,136.5167,Aqua Ignis
174,Teknaf,BD,79.93,overcast clouds,20.8624,92.3058,Forestry Guesthouse
175,Balkanabat,TM,82.0,scattered clouds,39.5108,54.3671,Nebitchi Hotel
179,Brownsburg,US,87.55,broken clouds,39.8434,-86.3978,Hampton Inn & Suites Indianapolis/Brownsburg
181,San Patricio,US,93.92,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
182,Kurduvadi,IN,72.82,overcast clouds,18.0833,75.4333,Trimurti Hotel and Lodging
185,Trat,TH,75.51,broken clouds,12.5,102.5,สวนหนิง-อัศ
186,Shingu,JP,79.92,clear sky,33.7333,135.9833,Shingu UI Hotel
187,El Vigia,VE,83.25,scattered clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
191,Buta,CD,72.91,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
192,Colmenar Viejo,ES,81.77,clear sky,40.6591,-3.7676,Profesora de Piano Carmen López
193,Maragogi,BR,74.43,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
196,Niquelandia,BR,72.28,clear sky,-14.4739,-48.4597,Hotel Suinã
197,Juegang,CN,79.99,light rain,32.3174,121.1855,Rudong Y Hotel
201,Riyadh,SA,89.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
204,Kaitong,CN,71.92,moderate rain,44.8135,123.15,Jinhe Fashion Hotel
205,Clinton,US,89.92,haze,42.587,-82.9199,Hampton Inn Detroit/Roseville
206,Atar,MR,90.36,overcast clouds,20.5169,-13.0499,Oumou Elghoura
211,Naliya,IN,81.61,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
213,Flin Flon,CA,75.04,smoke,54.7682,-101.865,Victoria Inn Flin Flon
217,Yanam,IN,79.48,overcast clouds,16.7333,82.2167,The Regency Hotel
222,Khatanga,RU,72.19,clear sky,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
225,Pochutla,MX,85.05,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
226,Waingapu,ID,75.7,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
230,Gaya,IN,78.71,mist,24.7833,85.0,SPOT ON 61644 Hotel Kumar Kripa
231,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
235,Samarai,PG,80.2,scattered clouds,-10.6167,150.6667,Nuli Sapi
238,Hithadhoo,MV,82.11,overcast clouds,-0.6,73.0833,Scoop Guest House
241,Tuy Hoa,VN,83.61,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
244,Kaseda,JP,78.03,broken clouds,31.4167,130.3167,Sun Stay Kaseda
245,Puerto Colombia,CO,86.09,clear sky,10.9878,-74.9547,Hotel El Emigrante
246,Nhulunbuy,AU,70.41,clear sky,-12.2333,136.7667,East Arnhem Real Estate
249,Muisne,EC,75.81,overcast clouds,0.6,-80.0333,Quinta Samay
250,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
254,Saint Anthony,US,82.33,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
255,Ekhinos,GR,77.68,clear sky,41.2833,24.9667,Sksnsjaj
256,Bandarbeyla,SO,77.18,overcast clouds,9.4942,50.8122,JABIR HOTEL
